"long","lat","id","country"
-97.9613755011378,36.7520830634121,"nr10new","USA"
-90.3892909432866,42.5150401016709,"nr11new","USA"
-90.8184195095932,33.5398998535727,"nr12new","USA"
-85.0973997509255,32.5886726391039,"nr13new","USA"
-81.9225273860459,28.3719762573288,"nr14new","USA"
-79.988996181739,34.9411885986654,"nr15new","USA"
-85.9740037996889,36.6341538898896,"nr16new","USA"
-79.4576332218086,39.4572035007561,"nr17new","USA"
-75.5449759233722,42.9821768987853,"nr18new","USA"
-70.6860633771923,44.2507483852428,"nr19new","USA"
-116.741144972234,45.8470627936158,"nr1new","USA"
-124.668827024609,54.7915785295958,"nr20new","CAN"
-114.512439794444,55.1760796253398,"nr21new","CAN"
-105.911473202704,54.4295156352191,"nr22new","CAN"
-97.4446807731932,54.9067226514574,"nr23new","CAN"
-86.0187889878836,50.407650136429,"nr24new","CAN"
-71.8399739271875,53.4046203594134,"nr25new","CAN"
-56.0548822742757,48.729741229062,"nr26new","CAN"
-113.626339304459,41.2132571914081,"nr2new","USA"
-105.491181928297,40.5362532367545,"nr3new","USA"
-121.437007304982,38.4091262635511,"nr4new","USA"
-117.13348995401,34.9992375129921,"nr5new","USA"
-102.538965114594,23.9530592729873,"nr6new","MEX"
-109.457333139936,34.5117912941088,"nr7new","USA"
-99.3537305706325,30.9305930311065,"nr8new","USA"
-100.600026189733,46.4895555995153,"nr9new","USA"
