long,lat,id,country
-84.42291501,38.07316005,239,USA
-120.5996594,39.15615836,24,USA
-84.93816265,37.46318804,240,USA
-83.74355124,36.80144797,241,USA
-82.8503912,37.37099172,242,USA
-82.01139584,36.97206251,243,USA
-80.46386483,36.87117836,244,USA
-79.53926761,37.49747703,245,USA
-81.87549906,38.48824204,246,USA
-82.07607486,38.00098689,247,USA
-81.33990753,37.68593176,248,USA
-80.7173585,38.80421448,249,USA
-122.2118997,37.93797122,25,USA
-79.5881212,38.88844501,250,USA
-80.12614207,40.57176334,251,USA
-79.80845553,40.33398021,252,USA
-79.01946377,39.55126096,253,USA
-77.895377,39.90665131,254,USA
-78.01141702,41.3405889,255,USA
-94.49850005,30.68456443,256,USA
-93.02321914,34.88992954,257,USA
-92.33543341,34.94386154,258,USA
-91.86435191,34.63699728,259,USA
-121.0287478,37.69641968,26,USA
-91.92922355,32.56645631,260,USA
-90.65249595,30.13622881,261,USA
-90.36148711,32.78900331,262,USA
-88.95057971,33.90483098,263,USA
-89.08451486,31.33397334,264,USA
-87.37714211,33.66034692,265,USA
-86.84341453,33.43872316,266,USA
-86.37516687,32.23238961,267,USA
-88.20735376,30.7618821,268,USA
-87.16553368,30.74683474,269,USA
-119.769377,37.19327438,27,USA
-85.7637532,30.59927382,270,USA
-85.57486151,30.28153106,271,USA
-84.38464688,34.69842328,272,USA
-84.97114226,33.39835159,273,USA
-84.42136034,33.89008744,274,USA
-83.08760685,32.2155369,275,USA
-89.66934577,35.25742422,276,USA
-88.30545329,35.74997931,277,USA
-86.79409849,36.19972221,278,USA
-85.74233156,35.77657461,279,USA
-117.8012178,36.85973875,28,USA
-85.31283312,35.20875939,280,USA
-84.28302723,36.34374533,281,USA
-84.08508261,35.80422286,282,USA
-84.45340103,35.32502243,283,USA
-83.38335326,35.99665559,284,USA
-82.52603801,36.34424155,285,USA
-87.70288407,36.88033989,286,USA
-84.97061642,36.87030772,287,USA
-82.39121323,35.67323849,288,USA
-80.30782762,36.01054661,289,USA
-120.5778605,35.72072819,29,USA
-80.71735546,35.24017252,290,USA
-78.82409052,35.96896576,291,USA
-79.04991203,34.79363194,292,USA
-77.61571917,35.50232912,293,USA
-76.4738299,35.59399462,294,USA
-82.05850213,34.68340161,295,USA
-81.03040123,34.15645463,296,USA
-81.23575913,33.26648412,297,USA
-79.67298757,33.96656689,298,USA
-80.06574869,33.05215191,299,USA
-121.955182,47.49687235,3,USA
-118.7880759,35.65834941,30,USA
-79.14349557,38.22888985,300,USA
-78.25771359,38.79110825,301,USA
-77.81280196,38.78124845,302,USA
-77.43218645,38.68308556,303,USA
-78.27943999,37.18868533,304,USA
-76.8751723,37.90065408,305,USA
-77.3560556,37.45793867,306,USA
-76.51373332,36.81040618,307,USA
-78.39178232,39.32052277,308,USA
-83.01368046,29.90293264,309,USA
-118.4711494,34.36365366,31,USA
-81.63985131,30.2969734,310,USA
-81.68751474,28.38315485,311,USA
-81.5150344,26.80971613,312,USA
-80.56373053,26.67709172,313,USA
-75.60492375,37.81184868,314,USA
-75.5189212,38.25094222,315,USA
-76.00098377,38.83437937,316,USA
-76.76367486,39.07725918,317,USA
-75.50506368,38.89505284,318,USA
-75.63488191,39.58603321,319,USA
-116.7176058,33.03174695,32,USA
-79.18370695,41.8047527,320,USA
-79.48876034,41.19599216,321,USA
-77.89340422,40.44653349,322,USA
-76.54003607,41.64021216,323,USA
-75.90754799,41.3588312,324,USA
-75.63396814,41.0032694,325,USA
-76.42636765,40.21940282,326,USA
-75.36653344,40.10965905,327,USA
-74.81465972,41.0488925,328,USA
-74.51327179,40.69019452,329,USA
-116.0145056,34.3171939,33,USA
-74.32348581,40.02762376,330,USA
-74.96138948,39.78167098,331,USA
-74.902727,39.43262035,332,USA
-78.74469835,42.70071621,333,USA
-76.30570706,43.10094311,334,USA
-77.32354877,42.39804078,335,USA
-75.97923177,43.81732638,336,USA
-75.12332074,44.03374886,337,USA
-74.09355552,44.05287026,338,USA
-74.74104347,42.24738019,339,USA
-119.5600704,40.15701034,34,USA
-73.67141867,42.85836374,340,USA
-73.90880363,41.42349335,341,USA
-73.25855327,40.80291312,342,USA
-72.73452133,41.81268352,343,USA
-72.76745163,41.39462525,344,USA
-71.59672773,41.66667273,345,USA
-71.3128081,41.52031904,346,USA
-72.47171621,42.36070349,347,USA
-71.12335307,42.24724228,348,USA
-70.08409745,41.94730224,349,USA
-117.6115382,40.61197099,35,USA
-73.04562334,44.6705954,350,USA
-72.43031904,44.40571579,351,USA
-72.83319355,43.32767929,352,USA
-71.47716015,44.14888786,353,USA
-71.68051978,43.10963453,354,USA
-69.46482922,45.8441281,355,USA
-68.92870965,44.72677691,356,USA
-116.07783,32.594533,357,MEX
-115.669242,32.583555,358,MEX
-123.8170149,49.92719486,359,CAN
-115.1950646,40.57432982,36,USA
-126.5602805,50.88765828,360,CAN
-126.8823128,52.15219223,361,CAN
-118.4107475,50.53886921,362,CAN
-129.7960312,54.01616041,363,CAN
-129.54192,56.11949107,364,CAN
-130.6424303,58.69293657,365,CAN
-123.4403999,55.71097442,366,CAN
-112.1288823,51.30720882,367,CAN
-115.1644141,56.23433148,368,CAN
-105.9114732,54.42951564,369,CAN
-118.1825022,38.73475766,37,USA
-97.44468077,54.90672265,370,CAN
-89.00092146,52.20382958,371,CAN
-82.23510013,48.81406999,372,CAN
-80.69566825,43.55355603,373,CAN
-77.25385531,44.92296968,374,CAN
-73.25674258,45.38824794,375,CAN
-74.84126697,46.97991278,376,CAN
-69.38606882,47.37993467,377,CAN
-77.77927497,47.96851904,378,CAN
-77.51468437,50.6591018,379,CAN
-116.462526,38.0300493,38,USA
-73.97877322,51.11796773,380,CAN
-73.25866987,48.80544661,381,CAN
-72.27217582,50.04241111,382,CAN
-71.77242123,48.47837495,383,CAN
-70.67521262,50.06835671,384,CAN
-69.54586898,49.07758998,385,CAN
-68.79231336,50.39209734,386,CAN
-67.96061803,52.49580265,387,CAN
-61.90134634,51.2166204,388,CAN
-77.26033064,54.01075596,389,CAN
-114.8835021,37.66089183,39,USA
-73.6196521,54.12551713,390,CAN
-70.17838026,54.50907928,391,CAN
-65.48979592,55.42122201,392,CAN
-76.62560685,57.89842846,393,CAN
-73.6196526,57.53651754,394,CAN
-69.60103556,57.411122,395,CAN
-65.62360666,57.35492341,396,CAN
-76.75499078,60.91163128,397,CAN
-73.6899966,60.68812013,398,CAN
-70.61927447,60.15429553,399,CAN
-120.6275887,47.59519949,4,USA
-115.0174041,36.23284216,40,USA
-65.02569157,59.6263757,400,CAN
-66.40473258,46.60816017,401,CAN
-63.98278562,44.89540621,402,CAN
-62.05182371,54.23601551,403,CAN
-63.24209805,46.39488962,404,CAN
-56.05488227,48.72974123,405,CAN
-116.6294762,47.64818073,41,USA
-115.7721809,45.57659844,42,USA
-113.9380791,44.4500908,43,USA
-115.9460706,42.91345225,44,USA
-114.1288357,43.1882083,45,USA
-113.3849616,42.41069235,46,USA
-111.8489494,43.4076117,47,USA
-113.1491519,39.64945959,48,USA
-111.7981699,40.74234227,49,USA
-121.5225082,46.292104,5,USA
-110.3182862,40.52141335,50,USA
-111.3146468,38.37549498,51,USA
-109.7112018,38.08326941,52,USA
-113.7436192,35.72391313,53,USA
-111.3100294,35.72135094,54,USA
-109.516242,35.34591005,55,USA
-113.2793254,33.87880353,56,USA
-112.086085,33.19002196,57,USA
-111.6857101,32.04276153,58,USA
-110.0436977,32.8410061,59,USA
-119.7549841,48.56948344,6,USA
-114.5655453,48.38569979,60,USA
-114.8877128,47.54697148,61,USA
-113.6271991,46.67070207,62,USA
-112.3840256,45.51613081,63,USA
-112.1762833,47.90376571,64,USA
-109.3458693,48.29881866,65,USA
-109.0270363,46.77220895,66,USA
-109.5082203,45.65559906,67,USA
-106.8433126,47.83744486,68,USA
-106.4066502,45.93058055,69,USA
-119.5470861,47.4129124,7,USA
-109.0047416,43.8490164,70,USA
-109.6249942,42.02078573,71,USA
-106.7112461,44.32489043,72,USA
-105.0387513,44.24892369,73,USA
-105.8451005,42.22317644,74,USA
-107.847478,40.57538696,75,USA
-108.1002062,39.50799978,76,USA
-108.2186043,37.91832666,77,USA
-106.553741,37.95923756,78,USA
-105.4770869,40.67239524,79,USA
-118.0574961,47.71034848,8,USA
-106.071354,40.28998891,80,USA
-106.0056335,39.3052927,81,USA
-104.6718713,39.63949718,82,USA
-104.5016785,38.86142096,83,USA
-104.8994154,38.25672427,84,USA
-103.4057368,40.35949182,85,USA
-103.1788862,38.94822281,86,USA
-103.5344414,37.5671334,87,USA
-108.0726328,35.62370864,88,USA
-106.7682393,35.51362749,89,USA
-118.4974438,46.26221385,9,USA
-107.7281761,33.1013966,90,USA
-106.3096156,36.32893189,91,USA
-105.6749037,33.44212193,92,USA
-104.4068562,35.74925949,93,USA
-106.2230818,31.77308956,94,USA
-103.324472,44.05773319,95,USA
-105.0375055,47.1804594,96,USA
-102.9625854,48.29839725,97,USA
-103.0150094,46.72819043,98,USA
-99.45710073,48.13668649,99,USA
