"long","lat","id","country"
-83.6126768967196,40.1364372047849,"nr1","USA"
-98.1260298767789,36.5804351620386,"nr10","USA"
-117.505607321601,49.7306559012178,"nr11","USA"
-108.160175485231,36.0009512619374,"nr12","USA"
-119.584088435388,37.2358638100267,"nr13","USA"
-70.2387290948137,53.5421600701309,"nr14","CAN"
-101.812324737803,25.5448283214187,"nr2","USA"
-76.7809429989129,40.4382987991257,"nr3","USA"
-89.5404630071324,41.61251197484,"nr4","USA"
-100.130974916861,50.7784514863746,"nr5","USA"
-84.8676738652834,49.576213426125,"nr6","USA"
-68.5393041903161,44.958113089038,"nr7","USA"
-81.9225273860459,28.3719762573288,"nr8","USA"
-86.1530165659206,33.8995153690343,"nr9","USA"
